"","V1","V2","V3","Rsqure","V5","V6","formula","period"
"7","a9888","y9888","v9888","0.663956963703818","0.0426125415978235","0.296152696430437","index.data$a9888* (-1)+index.data$y9888*(0.0426125415978235)+index.data$v9888*(0.296152696430437)","20130101T20151231"
"25","a9888","TA888","v9888","0.660509150105347","0.0251950056166691","0.298113496812726","index.data$a9888* (-1)+index.data$TA888*(0.0251950056166691)+index.data$v9888*(0.298113496812726)","20130101T20151231"
"13","a9888","m9888","v9888","0.659671341574521","0.0411007241652377","0.328943630291508","index.data$a9888* (-1)+index.data$m9888*(0.0411007241652377)+index.data$v9888*(0.328943630291508)","20130101T20151231"
"3","a9888","y9888","SR888","0.65611225977613","0.219600745980365","-0.258860650634727","index.data$a9888* (-1)+index.data$y9888*(0.219600745980365)+index.data$SR888*(-0.258860650634727)","20130101T20151231"
"51","m9888","c9888","TA888","0.650472422698125","0.232772995384","0.211205814417776","index.data$m9888* (-1)+index.data$c9888*(0.232772995384)+index.data$TA888*(0.211205814417776)","20130101T20151231"
"19","a9888","SR888","TA888","0.645316606968161","-0.16055922171648","0.147370458596763","index.data$a9888* (-1)+index.data$SR888*(-0.16055922171648)+index.data$TA888*(0.147370458596763)","20130101T20151231"
"17","a9888","c9888","p9888","0.634262199150929","0.490595897591646","0.224941970461328","index.data$a9888* (-1)+index.data$c9888*(0.490595897591646)+index.data$p9888*(0.224941970461328)","20130101T20151231"
"53","m9888","c9888","p9888","0.62801103802109","0.0458385731411726","0.436423992290726","index.data$m9888* (-1)+index.data$c9888*(0.0458385731411726)+index.data$p9888*(0.436423992290726)","20130101T20151231"
"24","a9888","TA888","p9888","0.624315745549589","0.103764877371369","0.116388885942497","index.data$a9888* (-1)+index.data$TA888*(0.103764877371369)+index.data$p9888*(0.116388885942497)","20130101T20151231"
"10","a9888","m9888","TA888","0.611351933246708","0.116517332213841","0.127781724283814","index.data$a9888* (-1)+index.data$m9888*(0.116517332213841)+index.data$TA888*(0.127781724283814)","20130101T20151231"
"4","a9888","y9888","TA888","0.603712846852855","0.0358438956759546","0.131749553274508","index.data$a9888* (-1)+index.data$y9888*(0.0358438956759546)+index.data$TA888*(0.131749553274508)","20130101T20151231"
"8","a9888","m9888","c9888","0.603548462384318","0.354552305038174","0.609922930041071","index.data$a9888* (-1)+index.data$m9888*(0.354552305038174)+index.data$c9888*(0.609922930041071)","20130101T20151231"
"23","a9888","TA888","l9888","0.602432445741089","0.146026488295792","0.0117383152279466","index.data$a9888* (-1)+index.data$TA888*(0.146026488295792)+index.data$l9888*(0.0117383152279466)","20130101T20151231"
"21","a9888","SR888","p9888","0.590142166620782","-0.149512647347118","0.279549589812417","index.data$a9888* (-1)+index.data$SR888*(-0.149512647347118)+index.data$p9888*(0.279549589812417)","20130101T20151231"
"1","a9888","y9888","m9888","0.576436678957423","0.152506302790506","0.206524121824341","index.data$a9888* (-1)+index.data$y9888*(0.152506302790506)+index.data$m9888*(0.206524121824341)","20130101T20151231"
"5","a9888","y9888","l9888","0.57568705093851","0.164261126390001","0.0623172571282585","index.data$a9888* (-1)+index.data$y9888*(0.164261126390001)+index.data$l9888*(0.0623172571282585)","20130101T20151231"
"12","a9888","m9888","p9888","0.574784399194539","0.17266496416785","0.217482365807976","index.data$a9888* (-1)+index.data$m9888*(0.17266496416785)+index.data$p9888*(0.217482365807976)","20130101T20151231"
"32","y9888","m9888","l9888","0.573421830491438","1.5024344858873","0.115151743859868","index.data$y9888* (-1)+index.data$m9888*(1.5024344858873)+index.data$l9888*(0.115151743859868)","20130101T20151231"
