"","V1","V2","Rsqure","V4","formula","kurtosis","skewness","period"
"144","y9888","p9888","0.945869849867432","1.05883503984338","y9888* (-1)+p9888*(1.05883503984338)",-0.328719102090803,-0.810640692137823,"2011-01-01T2015-12-31"
"334","TA888","v9888","0.90776632939257","1.8806096613127","TA888* (-1)+v9888*(1.8806096613127)",0.147384911127449,0.541824883833237,"2011-01-01T2015-12-31"
"364","p9888","v9888","0.811859588996054","1.54635442751525","p9888* (-1)+v9888*(1.54635442751525)",-0.146809936494471,-0.0281812563555645,"2011-01-01T2015-12-31"
"124","y9888","TA888","0.798737997159906","0.846002678785181","y9888* (-1)+TA888*(0.846002678785181)",0.146405664914907,-0.526053267990412,"2011-01-01T2015-12-31"
"324","TA888","p9888","0.795157366891135","1.0255801144743","TA888* (-1)+p9888*(1.0255801144743)",-0.817861029342519,-0.397801288546385,"2011-01-01T2015-12-31"
"154","y9888","v9888","0.780920374304035","1.65114255444932","y9888* (-1)+v9888*(1.65114255444932)",-0.409821460397514,-0.644676768206632,"2011-01-01T2015-12-31"
"294","SR888","p9888","0.673867935753787","0.427961786164646","SR888* (-1)+p9888*(0.427961786164646)",-0.975895552265133,-0.2389442347022,"2011-01-01T2015-12-31"
"116","y9888","SR888","0.594137825041638","1.60967655795686","y9888* (-1)+SR888*(1.60967655795686)",-0.0124106076976584,0.323166245983252,"2011-01-01T2015-12-31"
"216","a9888","m9888","0.556478098120534","0.482494102885983","a9888* (-1)+m9888*(0.482494102885983)",-0.34833501640411,0.0468170162099777,"2011-01-01T2015-12-31"
"354","l9888","v9888","0.51373300144216","0.816075029182177","l9888* (-1)+v9888*(0.816075029182177)",-0.247190731766618,-0.368883140339019,"2011-01-01T2015-12-31"
"304","SR888","v9888","0.509638717615361","0.638730099598648","SR888* (-1)+v9888*(0.638730099598648)",-1.13258863181803,-0.15973938880956,"2011-01-01T2015-12-31"
"314","TA888","l9888","0.503110672277676","1.22965147811671","TA888* (-1)+l9888*(1.22965147811671)",-0.883514264951341,-0.0923496825090138,"2011-01-01T2015-12-31"
"274","SR888","TA888","0.483793910906257","0.315286043299945","SR888* (-1)+TA888*(0.315286043299945)",-1.38919794641628,-0.0484587468395411,"2011-01-01T2015-12-31"
"194","m9888","l9888","0.470193089642854","0.252569791824431","m9888* (-1)+l9888*(0.252569791824431)",2.77086630873487,-1.39119002368691,"2011-01-01T2015-12-31"
"310","a9888","c9888","0.375814689449568","1.01769849166909","a9888* (-1)+c9888*(1.01769849166909)",0.623191178887521,0.502123591996119,"2011-01-01T2015-12-31"
"94","y9888","m9888","0.347736499304125","2.6272517533039","y9888* (-1)+m9888*(2.6272517533039)",-1.24567930186901,-0.318452523465279,"2011-01-01T2015-12-31"
"64","a9888","l9888","0.317893466994041","0.134323518211877","a9888* (-1)+l9888*(0.134323518211877)",-0.451888502055037,-0.191646125775313,"2011-01-01T2015-12-31"
"184","m9888","TA888","0.315301409424144","0.119304265156147","m9888* (-1)+TA888*(0.119304265156147)",0.666446988928145,-0.929071073755415,"2011-01-01T2015-12-31"
"217","m9888","v9888","0.30026964708364","0.229805468322861","m9888* (-1)+v9888*(0.229805468322861)",0.422544462415814,-0.91359137010943,"2011-01-01T2015-12-31"
"54","a9888","TA888","0.280829302095662","0.0728252855290224","a9888* (-1)+TA888*(0.0728252855290224)",-0.233493174790714,0.238357360940999,"2011-01-01T2015-12-31"
